"93	SAT II Physics	83	145	146	17	2",,
"59	CFA	48	12	19	17	1",,
"62	CFA Level3	59	17	18	17	2",,
"144	GRE (Analytical Writing)	68	31	32	17	2",,
"67	GMAT	48	20	29	17	1",,
"145	GRE (Quantitative)	68	33	34	17	2",,
"63	CLAST	54	181	182	17	2",,
"64	COOP/HSPT	54	183	184	17	2",,
"65	DAT	54	185	186	17	2",,
"112	Regents (intermediate)	48	108	117	17	1",,
"50	ACT English	49	3	4	17	2",,
"141	ISEE (Quantitative Reasoning)	138	43	44	17	2",,
"284	Beginner Polish	210	141	142	10	2",,
"271	Intermediate Italian	213	103	104	10	2",,
"244	Beginner Hebrew	199	77	78	10	2",,
"266	Advanced Hebrew	199	75	76	10	2",,
"241	Beginner Hindi	204	85	86	10	2",,
"307	Pre-calculus	292	13	14	11	2",,
"297	Discrete Math	294	39	40	11	2",,
"298	Geometry	294	41	42	11	2",,
"299	Logic	294	43	44	11	2",,
"300	Probability	294	45	46	11	2",,
"294	others Math	290	34	51	11	1",,
"302	Trigonometry	294	49	50	11	2",,
"315	Stochastic Modeling	293	31	32	11	2",,
"291	Algebra 	290	2	11	11	1",,
"305	Algebra 2	291	9	10	11	2",,
"306	Linear Algebra	291	3	4	11	2",,
"301	SPSs	294	47	48	11	2",,
"454	Microeconomics (AP/College Intro)	439	17	18	2	2",,
"447	Basic Finance	440	23	24	2	2",,
"448	Corporate Finance	440	25	26	2	2",,
"449	Financial Engineering	440	27	28	2	2",,
"450	Financial Markets	440	29	30	2	2",,
"546	Trombone	529	35	36	12	2",,
"451	International Finance	440	31	32	2	2",,
"547	Trumpet	529	37	38	12	2",,
"452	Investing	440	33	34	2	2",,
"445	Quickbooks	441	41	42	2	2",,
"446	Tax Preparation	441	43	44	2	2",,
"453	Operations Research	440	35	36	2	2",,
"482	French A2 HL	47	21	22	9	2",,
"400	DOS	399	15	16	4	2",,
"432	Assembly Language	2	27	28	4	2",,
"429	Computer Science (AP/College Intro)	2	31	32	4	2",,
"430	Computer Science (College Advanced)	2	33	34	4	2",,
"433	Computer Graphics	2	29	30	4	2",,
"434	Databases	2	35	36	4	2",,
"435	Human-computer Interaction	2	37	38	4	2",,
"406	Linux	399	17	18	4	2",,
"338	Information Â Technology In A Global Society HL	46	115	116	9	2",,
"45	IB		1	156	9	0",,
"316	Biology HL	46	71	72	9	2",,
"317	Biology SL	46	73	74	9	2",,
"496	Mandarin Ab SL	47	49	50	9	2",,
"497	Mandarin B HL	47	51	52	9	2",,
"498	Mandarin B SL	47	53	54	9	2",,
"499	Spanish A1 HL	47	55	56	9	2",,
"503	Spanish Ab SL	47	63	64	9	2",,
"504	Spanish B HlL	47	65	66	9	2",,
"505	Spanish B SL	47	67	68	9	2",,
"157	Ecology	152	77	78	14	2",,
"561	College Admissions	560	9	10	13	2",,
"560	others other	559	2	23	13	1",,
"222	Beginner Arabic	198	5	6	10	2",,
"318	Business & Manangement HL	46	75	76	9	2",,
"319	Business & Manangement SL	46	77	78	9	2",,
"320	Chemistry HL	46	79	80	9	2",,
